#          b = 2
#          n:            1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20
# Eigenvalues: -4.874323301e-01 -1.233597036e-01 -4.422850581e-02 3.798368206e-02 1.597917592e-01 3.119509956e-01 5.063160760e-01 7.264286393e-01 9.962343642e-01 1.288230969e+00 1.642094801e+00 2.014295313e+00 2.467507553e+00 2.934109992e+00 3.513823665e+00 4.099827425e+00 4.860724129e+00 5.616811217e+00 6.707545218e+00 7.778808423e+00 
#      r             u_1(r)        u_2(r)        u_3(r)        u_4(r)        u_5(r)        u_6(r)        u_7(r)        u_8(r)        u_9(r)        u_10(r)        u_11(r)        u_12(r)        u_13(r)        u_14(r)        u_15(r)        u_16(r)        u_17(r)        u_18(r)        u_19(r)        u_20(r)
4.70000000e+00 7.70347594e-01 -1.11938495e-01 -1.09199668e-01 -3.35842753e-04 -1.40434182e-01 2.13737238e-01 2.08325056e-01 1.74200887e-01 -1.03520223e-01 -8.70008776e-02 4.73722387e-02 1.11179202e-01 1.24932247e-01 -2.69919894e-01 2.78594147e-01 3.68932893e-01 1.36578971e-01 -4.54557500e-02 5.17413857e-01 -1.74428619e-01 
4.80000000e+00 7.45967698e-01 -1.30988292e-01 -1.00743701e-01 -2.72244045e-02 -1.62366173e-01 2.13009382e-01 1.75788606e-01 1.19055059e-01 -2.80001705e-02 -3.29653089e-03 -4.85268287e-02 1.38947023e-02 2.01045697e-02 -1.83711827e-01 2.20573951e-01 3.83978004e-01 2.32575569e-01 8.54136809e-02 4.39065502e-01 -3.23637499e-01 
4.90000000e+00 7.21144932e-01 -1.48372554e-01 -8.99514185e-02 -5.36377429e-02 -1.78059293e-01 2.02218917e-01 1.33015455e-01 5.67615074e-02 4.95656720e-02 7.87009830e-02 -1.40101686e-01 -8.22083817e-02 -8.93579200e-02 -7.72697355e-02 1.28705122e-01 3.49480499e-01 2.90831457e-01 2.09342812e-01 3.06030594e-01 -4.30550139e-01 
5.00000000e+00 6.96047864e-01 -1.63999102e-01 -7.71095186e-02 -7.87787205e-02 -1.86944939e-01 1.82039938e-01 8.26597763e-02 -8.13211524e-03 1.22894849e-01 1.51329201e-01 -2.18051195e-01 -1.66242321e-01 -1.90216514e-01 3.58958218e-02 1.52613771e-02 2.68856900e-01 3.02644904e-01 3.06503979e-01 1.33729240e-01 -4.81750527e-01 
5.10000000e+00 6.70832581e-01 -1.77807963e-01 -6.25332591e-02 -1.01919413e-01 -1.88746243e-01 1.53611308e-01 2.77913714e-02 -7.09560928e-02 1.86113039e-01 2.07860779e-01 -2.74471325e-01 -2.28710440e-01 -2.70098359e-01 1.41299510e-01 -1.04059829e-01 1.52237597e-01 2.66213663e-01 3.60312886e-01 -5.59770278e-02 -4.70203110e-01 
5.20000000e+00 6.45642077e-01 -1.89769812e-01 -4.65570009e-02 -1.22420741e-01 -1.83477566e-01 1.18461488e-01 -2.83052347e-02 -1.27264286e-01 2.34235772e-01 2.43137538e-01 -3.03675484e-01 -2.62617695e-01 -3.19050970e-01 2.25413266e-01 -2.12304802e-01 1.52008647e-02 1.87140363e-01 3.60287672e-01 -2.37524635e-01 -3.96854455e-01 
5.30000000e+00 6.20605887e-01 -1.99883920e-01 -2.95249653e-02 -1.39747754e-01 -1.71431565e-01 7.84158371e-02 -8.23379224e-02 -1.73153994e-01 2.63564906e-01 2.54045767e-01 -3.02775697e-01 -2.64286746e-01 -3.30809647e-01 2.77492084e-01 -2.93685286e-01 -1.23359588e-01 7.77727714e-02 3.04102875e-01 -3.85234154e-01 -2.71154527e-01 
5.40000000e+00 5.95839928e-01 -2.08175710e-01 -1.17824569e-02 -1.53480312e-01 -1.53155224e-01 3.54923666e-02 -1.31206739e-01 -2.05536786e-01 2.71968367e-01 2.39789070e-01 -2.71964967e-01 -2.33782038e-01 -3.03612468e-01 2.91037636e-01 -3.35901364e-01 -2.43938253e-01 -4.45705954e-02 1.98422736e-01 -4.77228327e-01 -1.10285406e-01 
5.50000000e+00 5.71446550e-01 -2.14694026e-01 6.33223227e-03 -1.63319136e-01 -1.29416622e-01 -8.20778220e-03 -1.72183923e-01 -2.22341689e-01 2.59022886e-01 2.01935878e-01 -2.14474462e-01 -1.74892248e-01 -2.40455110e-01 2.64691869e-01 -3.32015813e-01 -3.29295165e-01 -1.60246778e-01 5.82800542e-02 -4.99053868e-01 6.29120930e-02 
5.60000000e+00 5.47514755e-01 -2.19508182e-01 2.44950713e-02 -1.69087355e-01 -1.01164543e-01 -5.06089272e-02 -2.03063797e-01 -2.22638041e-01 2.26012028e-01 1.44241347e-01 -1.36214683e-01 -9.46750678e-02 -1.48749833e-01 2.02431324e-01 -2.81587484e-01 -3.67067604e-01 -2.50403164e-01 -9.49934814e-02 -4.46368339e-01 2.23093739e-01 
