#          b = 6
#          n:            1           2           3           4           5           6           7           8           9          10
# Eigenvalues: -3.299526782e-01 -9.679628167e-02 -4.628056458e-02 -2.566984111e-02 -1.115161880e-03 2.702364899e-02 7.648100378e-02 1.209328951e-01 2.089244998e-01 2.755258772e-01 
#      r             u_1(r)        u_2(r)        u_3(r)        u_4(r)        u_5(r)        u_6(r)        u_7(r)        u_8(r)        u_9(r)        u_10(r)
9.10000000e+00 6.09441685e-01 2.44939248e-01 -1.79575246e-01 1.63371999e-01 -2.00451279e-01 -2.27862867e-01 -2.34730003e-01 -2.84787246e-01 -2.78109379e-01 2.82209692e-01 
9.20000000e+00 6.17258584e-01 2.55732606e-01 -1.85135881e-01 1.65709145e-01 -1.98431006e-01 -2.25277888e-01 -2.27320284e-01 -2.83380980e-01 -2.75826671e-01 2.95288647e-01 
9.30000000e+00 6.24924669e-01 2.66305724e-01 -1.90368004e-01 1.67594651e-01 -1.95661144e-01 -2.21718887e-01 -2.18658931e-01 -2.80453595e-01 -2.71798642e-01 3.07146861e-01 
9.40000000e+00 6.32435496e-01 2.76638813e-01 -1.95253722e-01 1.69017434e-01 -1.92146587e-01 -2.17196154e-01 -2.08779980e-01 -2.75997408e-01 -2.65998372e-01 3.17639085e-01 
9.50000000e+00 6.39786772e-01 2.86712641e-01 -1.99776180e-01 1.69968283e-01 -1.87896118e-01 -2.11726010e-01 -1.97726738e-01 -2.70016614e-01 -2.58413806e-01 3.26626291e-01 
9.60000000e+00 6.46974358e-01 2.96508572e-01 -2.03919609e-01 1.70439901e-01 -1.82922384e-01 -2.05330736e-01 -1.85551589e-01 -2.62527469e-01 -2.49048390e-01 3.33977381e-01 
9.70000000e+00 6.53994266e-01 3.06008604e-01 -2.07669386e-01 1.70426939e-01 -1.77241841e-01 -1.98038467e-01 -1.72315735e-01 -2.53558367e-01 -2.37921562e-01 3.39570865e-01 
9.80000000e+00 6.60842665e-01 3.15195406e-01 -2.11012076e-01 1.69926021e-01 -1.70874685e-01 -1.89883038e-01 -1.58088845e-01 -2.43149803e-01 -2.25069083e-01 3.43296511e-01 
9.90000000e+00 6.67515877e-01 3.24052346e-01 -2.13935481e-01 1.68935757e-01 -1.63844750e-01 -1.80903789e-01 -1.42948645e-01 -2.31354229e-01 -2.10543220e-01 3.45056931e-01 
1.00000000e+01 6.74010384e-01 3.32563532e-01 -2.16428670e-01 1.67456754e-01 -1.56179397e-01 -1.71145336e-01 -1.26980428e-01 -2.18235797e-01 -1.94412749e-01 3.44769090e-01 
