#          b = 1.2
#          n:            1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20
# Eigenvalues: -4.967549723e-01 -1.177596507e-01 5.324275529e-02 3.123752342e-01 6.711524672e-01 1.114759789e+00 1.663833910e+00 2.294645497e+00 3.046654324e+00 3.879886020e+00 4.859755887e+00 5.921904160e+00 7.171382046e+00 8.506395763e+00 1.009840647e+01 1.178417294e+01 1.386449074e+01 1.606332517e+01 1.902646050e+01 2.223855487e+01 
#      r             u_1(r)        u_2(r)        u_3(r)        u_4(r)        u_5(r)        u_6(r)        u_7(r)        u_8(r)        u_9(r)        u_10(r)        u_11(r)        u_12(r)        u_13(r)        u_14(r)        u_15(r)        u_16(r)        u_17(r)        u_18(r)        u_19(r)        u_20(r)
4.50000000e+00 1.03979548e-01 8.45071417e-02 -2.12886008e-01 3.21122713e-01 6.57729072e-02 2.87580915e-01 -8.72389008e-02 -2.35388748e-01 -3.32026826e-01 -2.72955710e-01 -1.37164539e-01 4.47365395e-02 7.88089463e-02 -1.28099949e-01 -8.73305510e-02 -1.09863596e-01 -1.99210327e-01 5.45263496e-01 3.28756042e-01 3.37046132e-01 
4.60000000e+00 9.42405359e-02 7.47335587e-02 -1.93377587e-01 3.28465871e-01 1.40038792e-01 2.65799320e-01 1.63269376e-02 -3.04724448e-01 -3.03955410e-01 -1.27430788e-01 4.66971474e-02 2.41745843e-01 2.88616951e-01 -3.10260039e-01 -3.45897837e-01 1.65122586e-01 9.12824815e-02 3.02605337e-01 5.65893345e-01 5.09471114e-02 
4.70000000e+00 8.54528575e-02 6.60993151e-02 -1.74210264e-01 3.28219079e-01 2.07431071e-01 2.22069284e-01 1.18204867e-01 -3.28432984e-01 -2.21982587e-01 4.38438538e-02 2.18999553e-01 3.71048631e-01 4.08491788e-01 -3.85036957e-01 -4.73904994e-01 3.71882757e-01 3.43444654e-01 -8.24447917e-02 5.27140918e-01 -2.58683171e-01 
4.80000000e+00 7.74863709e-02 5.85513264e-02 -1.55920935e-01 3.21469106e-01 2.65023372e-01 1.61159311e-01 2.07288334e-01 -3.04880287e-01 -1.01705995e-01 2.04328334e-01 3.38707656e-01 3.98027520e-01 4.02015807e-01 -3.27529420e-01 -4.23315118e-01 4.26546574e-01 4.45617798e-01 -4.31351876e-01 2.30782793e-01 -4.34415958e-01 
4.90000000e+00 7.02281517e-02 5.20148547e-02 -1.38898136e-01 3.09367459e-01 3.10840470e-01 8.86872254e-02 2.74593814e-01 -2.39387362e-01 3.56097055e-02 3.21399982e-01 3.78540180e-01 3.17205863e-01 2.72078794e-01 -1.58588768e-01 -2.13714541e-01 3.07773949e-01 3.52663032e-01 -5.81234616e-01 -1.78683308e-01 -3.86697979e-01 
5.00000000e+00 6.35823231e-02 4.64000311e-02 -1.23388605e-01 2.93055174e-01 3.43865043e-01 1.04428617e-02 3.13999153e-01 -1.42783824e-01 1.66992321e-01 3.72913051e-01 3.30611920e-01 1.52429359e-01 5.89011272e-02 6.37207866e-02 7.60046544e-02 6.43563356e-02 1.05467353e-01 -4.61422637e-01 -5.00638663e-01 -1.40272794e-01 
5.10000000e+00 5.74693314e-02 4.16075051e-02 -1.09510515e-01 2.73610911e-01 3.63977425e-01 -6.81839074e-02 3.22577324e-01 -2.92832908e-02 2.71607541e-01 3.51013533e-01 2.07239546e-01 -5.10001324e-02 -1.73114491e-01 2.64892713e-01 3.38050919e-01 -2.05526836e-01 -1.87900667e-01 -1.26837760e-01 -5.76767864e-01 1.77903387e-01 
5.20000000e+00 5.18247686e-02 3.75332969e-02 -9.72718065e-02 2.52020282e-01 3.71842545e-01 -1.42619231e-01 3.00554317e-01 8.58873571e-02 3.33872711e-01 2.62659791e-01 3.71359782e-02 -2.39474832e-01 -3.55206594e-01 3.79265924e-01 4.76188607e-01 -3.94273283e-01 -4.00287324e-01 2.67638883e-01 -3.69180341e-01 4.03693289e-01 
5.30000000e+00 4.65978446e-02 3.40729352e-02 -8.65919811e-02 2.29162201e-01 3.68758793e-01 -2.09345613e-01 2.50954766e-01 1.88692508e-01 3.45434846e-01 1.27080276e-01 -1.41759021e-01 -3.65527262e-01 -4.34537504e-01 3.71123958e-01 4.40858532e-01 -4.27566442e-01 -4.40935175e-01 5.39541149e-01 2.06489638e-02 4.20443932e-01 
5.40000000e+00 4.17496082e-02 3.11249608e-02 -7.73256822e-02 2.05806959e-01 3.56483473e-01 -2.65974877e-01 1.79018358e-01 2.68003287e-01 3.05850997e-01 -2.89662382e-02 -2.90946338e-01 -3.99602855e-01 -3.88972782e-01 2.44939665e-01 2.46174479e-01 -2.92891747e-01 -2.93891418e-01 5.63619190e-01 4.01654805e-01 2.19388858e-01 
5.50000000e+00 3.72510138e-02 2.85938436e-02 -6.92864139e-02 1.82620676e-01 3.37049058e-01 -3.11183876e-01 9.14766244e-02 3.16633895e-01 2.22033146e-01 -1.76900929e-01 -3.79536559e-01 -3.36306775e-01 -2.32385339e-01 4.21885722e-02 -3.67469399e-02 -4.31880720e-02 -2.32140973e-02 3.29290649e-01 5.87035878e-01 -9.57066268e-02 
5.60000000e+00 3.30809312e-02 2.63923402e-02 -6.22688675e-02 1.60171648e-01 3.12583661e-01 -3.44555970e-01 -4.22308066e-03 3.31653781e-01 1.06693567e-01 -2.91735459e-01 -3.90240847e-01 -1.94044316e-01 -9.50628548e-03 -1.73287323e-01 -3.06739983e-01 2.24897449e-01 2.56106041e-01 -5.55987443e-02 4.85759258e-01 -3.62152886e-01 
5.70000000e+00 2.92241890e-02 2.44432918e-02 -5.60685362e-02 1.38935458e-01 2.85147907e-01 -3.66374921e-01 -1.00668496e-01 3.14059113e-01 -2.38652559e-02 -3.56151951e-01 -3.22137114e-01 -8.82470393e-03 2.17612748e-01 -3.35913752e-01 -4.69252572e-01 4.08855372e-01 4.27791074e-01 -4.15508714e-01 1.46730140e-01 -4.42347857e-01 
5.80000000e+00 2.56697333e-02 2.26808555e-02 -5.04975966e-02 1.19297345e-01 2.56598572e-01 -3.77413194e-01 -1.91143009e-01 2.67977876e-01 -1.52230654e-01 -3.62647720e-01 -1.89937716e-01 1.75592140e-01 3.87247501e-01 -3.98190694e-01 -4.69220742e-01 4.39238255e-01 4.22658844e-01 -5.87971302e-01 -2.65632708e-01 -2.94620759e-01 
5.90000000e+00 2.24089722e-02 2.10511590e-02 -4.53964163e-02 1.01551849e-01 2.28486742e-01 -3.78746138e-01 -2.70145722e-01 1.99625600e-01 -2.62261081e-01 -3.13628000e-01 -2.02195798e-02 3.18378804e-01 4.54649623e-01 -3.43758424e-01 -3.08776750e-01 3.04953568e-01 2.45578803e-01 -4.96768043e-01 -5.51776198e-01 5.59939178e-03 
6.00000000e+00 1.94343611e-02 1.95123870e-02 -4.06404506e-02 8.59009002e-02 2.01995094e-01 -3.71610017e-01 -3.33737908e-01 1.16223932e-01 -3.41061518e-01 -2.19760613e-01 1.54367595e-01 3.90501743e-01 4.03243453e-01 -1.90437277e-01 -4.44440388e-02 5.60546808e-02 -2.90834142e-02 -1.84520141e-01 -5.73583859e-01 3.04835348e-01 
