#          b = 1.2
#          n:            1           2           3           4           5           6           7           8           9          10
# Eigenvalues: -4.919461446e-01 -8.090469106e-02 2.741203525e-01 8.009204848e-01 1.560513588e+00 2.477430159e+00 3.734975746e+00 5.156771413e+00 7.234374253e+00 9.545778493e+00 
#      r             u_1(r)        u_2(r)        u_3(r)        u_4(r)        u_5(r)        u_6(r)        u_7(r)        u_8(r)        u_9(r)        u_10(r)
7.60000000e+00 -1.27444970e-05 -1.58062783e-04 4.11574453e-04 8.57062486e-03 -2.88630020e-03 -1.10894580e-01 -1.37163809e-01 6.13112360e-01 -7.63077813e-01 -5.41744007e-01 
7.70000000e+00 -8.51896040e-06 -1.10949753e-04 3.21719548e-04 6.51788011e-03 -3.39463889e-03 -9.14958415e-02 -1.00292723e-01 5.70728717e-01 -7.65410962e-01 -2.95782388e-01 
7.80000000e+00 -5.64813437e-06 -7.71735430e-05 2.46969656e-04 4.90405730e-03 -3.45757194e-03 -7.46104829e-02 -7.07020186e-02 5.20824801e-01 -7.34033822e-01 -2.59891251e-02 
7.90000000e+00 -3.71434301e-06 -5.31950050e-05 1.86467552e-04 3.65077079e-03 -3.24714399e-03 -6.01305392e-02 -4.76824938e-02 4.66558204e-01 -6.77473910e-01 2.42292029e-01 
8.00000000e+00 -2.42282516e-06 -3.63369950e-05 1.38633042e-04 2.68918876e-03 -2.88831270e-03 -4.78946363e-02 -3.03481118e-02 4.10707287e-01 -6.04394282e-01 4.87553267e-01 
8.10000000e+00 -1.56758150e-06 -2.45990686e-05 1.01587340e-04 1.96017973e-03 -2.46769993e-03 -3.77037211e-02 -1.77483165e-02 3.55585225e-01 -5.22748566e-01 6.93760498e-01 
8.20000000e+00 -1.00603110e-06 -1.65042500e-05 7.34260611e-05 1.41397016e-03 -2.04193974e-03 -2.93362116e-02 -8.95220323e-03 3.03002616e-01 -4.39230618e-01 8.51013432e-01 
8.30000000e+00 -6.40429639e-07 -1.09747965e-05 5.23804374e-05 1.00945575e-03 -1.64514435e-03 -2.25615977e-02 -3.10558002e-03 2.54271195e-01 -3.59001575e-01 9.55361348e-01 
8.40000000e+00 -4.04404449e-07 -7.23330572e-06 3.68996431e-05 7.13297321e-04 -1.29523923e-03 -1.71518344e-02 5.35715568e-04 2.10239499e-01 -2.85647327e-01 1.00799107e+00 
8.50000000e+00 -2.53309130e-07 -4.72533804e-06 2.56803241e-05 4.98912053e-04 -9.99094044e-04 -1.28901914e-02 2.59163740e-03 1.71350746e-01 -2.21304778e-01 1.01403445e+00 
8.60000000e+00 -1.57391857e-07 -3.05985331e-06 1.76631309e-05 3.45446902e-04 -7.56498990e-04 -9.57751177e-03 3.55792482e-03 1.37713523e-01 -1.66893201e-01 9.81230270e-01 
8.70000000e+00 -9.70099701e-08 -1.96406469e-06 1.20106117e-05 2.36796929e-04 -5.63112136e-04 -7.03605896e-03 3.81558279e-03 1.09177057e-01 -1.22393908e-01 9.18633541e-01 
8.80000000e+00 -5.93143074e-08 -1.24972375e-06 8.07636971e-06 1.60709448e-04 -4.12541215e-04 -5.11128799e-03 3.64583262e-03 8.54043977e-02 -8.71334343e-02 8.35508194e-01 
8.90000000e+00 -3.59764150e-08 -7.88298479e-07 5.37191841e-06 1.07996553e-04 -2.97733489e-04 -3.67195317e-03 3.24737532e-03 6.59386931e-02 -6.00393403e-02 7.40479330e-01 
9.00000000e+00 -2.16470152e-08 -4.92947772e-07 3.53509407e-06 7.18643379e-05 -2.11838159e-04 -2.60898906e-03 2.75369390e-03 5.02595242e-02 -3.98509134e-02 6.40968585e-01 
9.10000000e+00 -1.29213021e-08 -3.05604355e-07 2.30206055e-06 4.73568906e-05 -1.48685729e-04 -1.83357383e-03 2.24892461e-03 3.78278992e-02 -2.52780385e-02 5.42895415e-01 
9.20000000e+00 -7.65154390e-09 -1.87837005e-07 1.48372635e-06 3.09064790e-05 -1.03003560e-04 -1.27472984e-03 1.78149149e-03 2.81198037e-02 -1.51096059e-02 4.50600801e-01 
9.30000000e+00 -4.49503213e-09 -1.14466930e-07 9.46633353e-07 1.99775420e-05 -7.04609353e-05 -8.76745893e-04 1.37520153e-03 2.06491674e-02 -8.27793396e-03 3.66936961e-01 
9.40000000e+00 -2.61977404e-09 -6.91624174e-08 5.97948717e-07 1.27905575e-05 -4.76130603e-05 -5.96632410e-04 1.03784384e-03 1.49817113e-02 -3.88823407e-03 2.93464807e-01 
9.50000000e+00 -1.51477634e-09 -4.14347972e-08 3.73988188e-07 8.11184578e-06 -3.17930176e-05 -4.01752331e-04 7.67547875e-04 1.07414391e-02 -1.22270515e-03 2.30706765e-01 
9.60000000e+00 -8.68946689e-10 -2.46137940e-08 2.31641561e-07 5.09635556e-06 -2.09842716e-05 -2.67712431e-04 5.57260364e-04 7.61158169e-03 2.71921143e-04 1.78412935e-01 
9.70000000e+00 -4.94542857e-10 -1.44985062e-08 1.42098124e-07 3.17201901e-06 -1.36938720e-05 -1.76553533e-04 3.97729321e-04 5.33168072e-03 1.00607102e-03 1.35810612e-01 
9.80000000e+00 -2.79246086e-10 -8.46860866e-09 8.63412559e-08 1.95601977e-06 -8.83751556e-06 -1.15244499e-04 2.79362363e-04 3.69225806e-03 1.27272297e-03 1.01818711e-01 
9.90000000e+00 -1.56440332e-10 -4.90520797e-09 5.19694511e-08 1.19507912e-06 -5.64152585e-06 -7.44624019e-05 1.93278171e-04 2.52823488e-03 1.27270528e-03 7.52185054e-02 
1.00000000e+01 -8.69550644e-11 -2.81754909e-09 3.09896249e-08 7.23485450e-07 -3.56293140e-06 -4.76280710e-05 1.31810051e-04 1.71196998e-03 1.13758428e-03 5.47794872e-02 
